Experiment,Group,Subject,TrialType,Kind,Object,Rating
2,CB,CB2,Filler,Artifact,chair,4
2,CB,CB2,Filler,Artifact,coffee table,5
2,CB,CB2,Filler,Artifact,knife,5
2,CB,CB2,Filler,Artifact,rug,6
2,CB,CB2,Filler,Artifact,coat,6
2,CB,CB2,Filler,Artifact,bowl,5
2,CB,CB2,Filler,Artifact,door,5
2,CB,CB3,Color,Natural,strawberry,7
2,CB,CB3,Color,Natural,banana,6
2,CB,CB3,Color,Natural,broccoli,7
2,CB,CB3,Color,Natural,lemon,7
2,CB,CB3,Color,Natural,coal,6
2,CB,CB3,Color,Natural,snow,7
2,CB,CB3,Color,Natural,flamingo,6
2,CB,CB3,Color,Natural,elephant,7
2,CB,CB3,Color,Natural,ruby,7
2,CB,CB3,Color,Natural,pearl,5
2,CB,CB3,Color,ArtifactFC,go traffic,7
2,CB,CB3,Color,ArtifactFC,fire truck,7
2,CB,CB3,Color,ArtifactFC,basketball,5
2,CB,CB3,Color,ArtifactFC,taxi cab,6
2,CB,CB3,Color,ArtifactFC,police uniform,7
2,CB,CB3,Color,ArtifactFC,dollar bill,7
2,CB,CB3,Color,ArtifactFC,tennis ball,5
2,CB,CB3,Color,ArtifactFC,chalkboard,7
2,CB,CB3,Color,ArtifactNFC,toilet,3
2,CB,CB3,Color,ArtifactFC,street sign,6
2,CB,CB3,Color,ArtifactNFC,pants,3
2,CB,CB3,Color,ArtifactNFC,mug,4
2,CB,CB3,Color,ArtifactNFC,book,3
2,CB,CB3,Color,ArtifactNFC,purse,3
2,CB,CB3,Color,ArtifactFC,crayon,2
2,CB,CB3,Color,ArtifactNFC,lunch box,2
2,CB,CB3,Color,ArtifactNFC,suitcase,3
2,CB,CB3,Color,ArtifactNFC,couch,2
2,CB,CB3,Color,ArtifactNFC,shoes,4
2,CB,CB3,Color,ArtifactNFC,vacuum,2
2,CB,CB3,Function,Natural,wood,4
2,CB,CB3,Function,Natural,rock,1
2,CB,CB3,Function,Natural,mud,3
2,CB,CB3,Function,Natural,gold,2
2,CB,CB3,Function,Natural,grass,4
2,CB,CB3,Function,Natural,leaf,4
2,CB,CB3,Function,Natural,tree bark,3
2,CB,CB3,Function,Natural,water,4
2,CB,CB3,Function,Natural,dirt,6
2,CB,CB3,Function,Natural,flower,3
2,CB,CB3,Function,Artifact,hole puncher,7
2,CB,CB3,Function,Artifact,stapler,6
2,CB,CB3,Function,Artifact,hammer,7
2,CB,CB3,Function,Artifact,drill,7
2,CB,CB3,Function,Artifact,iron,7
2,CB,CB3,Function,Artifact,toaster,4
2,CB,CB3,Function,Artifact,coffee maker,7
