Experiment,TrialNum,TrialType,Kind,Object,Group,subjID,color1,color2,color3
3,38,Color,Natural,spinach,CB,NFB_CB_14,green,,
3,39,Color,ArtifactFC,coin,CB,NFB_CB_14,silver,,
3,40,Color,ArtifactFC,lab coat,CB,NFB_CB_14,white,,
3,41,Color,ArtifactFC,military uniform,CB,NFB_CB_14,red,white,blue
3,42,Color,ArtifactFC,paper,CB,NFB_CB_14,white,,
3,43,Color,ArtifactFC,recycling bin,CB,NFB_CB_14,green,,
3,44,Color,ArtifactFC,school bus,CB,NFB_CB_14,yellow,,
3,45,Color,ArtifactFC,stop sign,CB,NFB_CB_14,red,,
3,46,Color,ArtifactFC,wedding dress,CB,NFB_CB_14,white,,
3,47,Color,ArtifactNFC,car,CB,NFB_CB_14,blue,,
3,48,Color,ArtifactNFC,cup,CB,NFB_CB_14,red,,
3,49,Color,ArtifactNFC,fork,CB,NFB_CB_14,silver,,
3,50,Color,ArtifactNFC,laptop,CB,NFB_CB_14,black,,
3,51,Color,ArtifactFC,pen,CB,NFB_CB_14,black,,
3,52,Color,ArtifactNFC,soap,CB,NFB_CB_14,white,,
3,53,Color,ArtifactNFC,table,CB,NFB_CB_14,brown,,
3,54,Color,ArtifactNFC,towel,CB,NFB_CB_14,white,,
2,1,Color,Natural,strawberry,CB,NFB_CB_17,red,,
2,2,Color,Natural,banana,CB,NFB_CB_17,green,,
2,3,Color,Natural,broccoli,CB,NFB_CB_17,green,,
2,4,Color,Natural,lemon,CB,NFB_CB_17,yellow,,
2,5,Color,Natural,coal,CB,NFB_CB_17,black,,
2,6,Color,Natural,snow,CB,NFB_CB_17,white,,
2,7,Color,Natural,flamingo,CB,NFB_CB_17,IDK,,
2,8,Color,Natural,elephant,CB,NFB_CB_17,brown,,
2,9,Color,Natural,ruby,CB,NFB_CB_17,red,,
2,10,Color,Natural,pearl,CB,NFB_CB_17,green,,
2,11,Color,ArtifactFC,go traffic,CB,NFB_CB_17,green,,
2,12,Color,ArtifactFC,fire truck,CB,NFB_CB_17,red,,
2,13,Color,ArtifactFC,basketball,CB,NFB_CB_17,white,,
2,14,Color,ArtifactFC,taxi cab,CB,NFB_CB_17,yellow,,
2,15,Color,ArtifactFC,police uniform,CB,NFB_CB_17,blue,,
2,16,Color,ArtifactFC,dollar bill,CB,NFB_CB_17,green,,
2,17,Color,ArtifactFC,tennis ball,CB,NFB_CB_17,IDK,,
2,18,Color,ArtifactFC,chalkboard,CB,NFB_CB_17,white,,
2,19,Color,ArtifactNFC,toilet,CB,NFB_CB_17,brown,,
2,20,Color,ArtifactFC,street sign,CB,NFB_CB_17,red,,
2,21,Color,ArtifactNFC,pants,CB,NFB_CB_17,black,,
2,22,Color,ArtifactNFC,mug,CB,NFB_CB_17,white,,
2,23,Color,ArtifactNFC,book,CB,NFB_CB_17,brown,,
2,24,Color,ArtifactNFC,purse,CB,NFB_CB_17,blue,,
2,25,Color,ArtifactFC,crayon,CB,NFB_CB_17,yellow,,
