,,,,,Blind,,,,,,,,,,,,,,,,,,,,Sighted,,,,,,,,,,,,,,,,,,
2,24,Color,ArtifactNFC,purse,pink,black,blue,black,black,blue,black,blue,brown,black,black,pink,tan,green,blue,black,blue,black,tan,black,brown,brown,black,brown,brown,black,black,black,black,brown,black,brown,brown,black,black,black,mahogany,black,black
2,25,Color,ArtifactFC,crayon,brown,purple,yellow,red,yellow,red,blue,orange,red,red,blue,black,yellow,blue,blue,blue,blue,blue,blue,pink,red,red,black,red,red,red,blue,pink,blue,red,red,red,red,red,blue,red,red,red,green
2,26,Color,ArtifactNFC,lunch box,blue,blue,green,white,yellow,green,white,blue,yellow,blue,blue,green,purple,red,red,pink,blue,red,yellow,purple,blue,blue,blue,silver,red,yellow,blue,blue,red,blue,pink,blue,green,silver,blue,red,blue,blue,red
2,27,Color,ArtifactNFC,suitcase,blue,black,black,black,black,blue,black,orange,black,black,black,grey,purple,red,blue,black,black,black,tan,black,black,black,black,black,grey,black,black,burgundy,black,black,black,black,black,black,black,black,black,grey,black
2,28,Color,ArtifactNFC,couch,white,tan,IDK,black,black,blue,brown,blue,black,blue,red,brown,blue,red,brown,black,green,tan,tan,burgundy,yellow,beige,beige,blue,beige,blue,grey,floral print,blue,grey,red,brown,brown,grey,grey,brown,blue,brown,taupe
2,29,Color,ArtifactNFC,shoes,white,black,brown,white,white,black,black,brown,black,black,black,brown,black,black,black,black,green,black,black,blue,black,brown,black,brown,black,white,black,black,black,black,black,black,black,brown,brown,brown,brown,white,brown
2,30,Color,ArtifactNFC,vacuum,black,blue,IDK,brown,black,black,white,blue,green,IDK,black,brown,black,green,white,black,brown,white,white,red,black,grey,black,grey,silver,silver,grey,silver,white,grey,red,red,grey,grey,grey,red,dark red,grey,grey
2,31,Function,Natural,wood,combine with other pieces of wood to build something,cut it,cut it,build something,carve it,saw it in two,build with it,chop it,carve it,paint it,carve it,put it in a fire,saw it,cut it,build something,chop it,carve something out of it,cut it,chop it,build,burn it,chop it,build something,carve it,make buildings,start a fire,build something,carve,cut it,burn it,make a shelf,build something,chop it,burn it,burn it,build things,burn it,use it to construct,make a necklace holder
2,32,Function,Natural,rock,sit on top of it,throw it,use it as paperweight,sit on it,sit on it,examine it as a scientist would,collect them,toss it,collect it,sit on it,throw it,sit on it,skip rocks,throw it,throw it,examine it,throw it at a window,throw it,throw it,make concrete,throw it,throw it,throw it,throw it,throw it,make a pathway,use it as a paperweight,throw it,throw,throw it,throw it,skip it on a lake,throw it,throw it,throw it,throw it,throw it,skip it across water,throw it
2,33,Function,Natural,mud,throw it,stomp in it,throw it,throw it,throw it at people,scrape it off your shoes,play in it,throw it,make a mudpie,wash off your shoes,shape it,make mud pies,step in it,walk in it,step in it,play in it,throw it at your sister,make mud pie,play in it,step in it,make a house out of it,throw it,plant something,jump in it,throw it,sling it,make a mudpie,facial,slide on it,play with it,step in it,avoid it,splash around in it,mud mask,mold it into a shape,jump in it,use it as a facial,plant something in it,make a mess
2,34,Function,Natural,gold,fashion it into jewelry,save it,spend it,sell it,make it into necklace,invest it,melt it to make things,make jewlery,spend it,polish it,sell it,spend it,sell it,sell it,sell it,melt,keep it forever,weight it,convert it to money,make jewelry,smelt it into jewelry,sell it,wear it,melt it down,jewelry,make jewelry,make it into jewelry,buy things,sell it,melt it,exchange it for money,keep it store it,hoard it,melt it,save it,buy things,make it into jewelry,turn it into jewelry,hide it away
2,35,Function,Natural,grass,play in it,water it,lay down in it,grow it,sit on it,mow it,mow it ,mow it,cut it,mow it,cut it,camp out on it,put it in a compost pile,mow it,mow it,cut it,run on it,compost,mow it,grow a garden,make it into mulch,cut it,smoke it,plant it,mow it,cut it,grow it,mow it,cut it,cut it,lie in it,run around on it,step on it,cut it,walk on it,mow it,cut it,lie on it,cut it
2,36,Function,Natural,leaf,rake it,rake it,rake it,let it blow in the wind,make tea,examine,press it in a book,crinkle it,put it in salad,examine it,copy it and paint it,look at them,blow leaves with leaf blower,rake,rake it,rake them,leaf rubbing,pull it off a tree,rake it,cook,use it as a bookmark,rake it,throw it in the trash,rake it,enjoy its beauty,compost it,crush it under your foot,collage,trace it,look at it,collect it,pull it off a branch,tear it,make tea,rake it,eat it,blow it,eat it,template for arts and crafts
2,37,Function,Natural,tree bark,turn it into paper,kindle a fire,pick it off,make wood,make tea,look at it,chop it,not sure,make tea,examine it,carve on it,touch it,burn it,plant it,pick it off trees,peel it off the tree,carve initials in it,peel it off the tree,use it to make something,make paper,make it into paper,scrape it off the tree,make paper,turn it into mulch,burn it,burn it,make medicine,make sculptures,scratch something,write in it,use it to play with pet,make sap,scrape it off of a tree,burn it,start a fire,make a fire,burn it,enscribe your name,make mulch
2,38,Function,Natural,water,drink it,drink it,drink it,drink it,drink it,drink it,drink it,drink it,drink it,drink it,drink it,drink it,pour it into a glass,drink it,drink it,drink it,drink it,wash it,drink it,drink,drink it,drink it,drink it,drink it,drink it,cook,drink it,drink it,drink it,drink it,drink it,drink it,splash around in it,bathe,drink,drink it,drink it,drink it,drink it
