Object,Experiment,Kind,subjID,Rating
Arn,2,ArtifactFC,s14,6
Toppee,2,ArtifactFC,s14,6
Bollop,2,ArtifactFC,s14,6
Reeka,2,ArtifactFC,s14,7
Kanpa,2,ArtifactNFC,s15,3
Flut,2,ArtifactNFC,s15,5
Meepa,2,ArtifactNFC,s15,2
Cano,2,ArtifactNFC,s15,7
Maxus,2,ArtifactNFC,s15,2
Bewt,2,ArtifactFC,s15,7
Arn,2,ArtifactFC,s15,5
Toppee,2,ArtifactFC,s15,7
Bollop,2,ArtifactFC,s15,1
Reeka,2,ArtifactFC,s15,6
Kanpa,2,ArtifactNFC,s16,1
Flut,2,ArtifactNFC,s16,1
Meepa,2,ArtifactNFC,s16,1
Cano,2,ArtifactNFC,s16,3
Maxus,2,ArtifactNFC,s16,1
Bewt,2,ArtifactFC,s16,1
Arn,2,ArtifactFC,s16,7
Toppee,2,ArtifactFC,s16,6
Bollop,2,ArtifactFC,s16,1
Reeka,2,ArtifactFC,s16,4
Kanpa,2,ArtifactNFC,s17,2
Flut,2,ArtifactNFC,s17,7
Meepa,2,ArtifactNFC,s17,4
Cano,2,ArtifactNFC,s17,4
Maxus,2,ArtifactNFC,s17,3
Bewt,2,ArtifactFC,s17,4
Arn,2,ArtifactFC,s17,4
Toppee,2,ArtifactFC,s17,6
Bollop,2,ArtifactFC,s17,6
Reeka,2,ArtifactFC,s17,6
Kanpa,2,ArtifactNFC,s18,1
Flut,2,ArtifactNFC,s18,1
Meepa,2,ArtifactNFC,s18,2
Cano,2,ArtifactNFC,s18,1
Maxus,2,ArtifactNFC,s18,1
Bewt,2,ArtifactFC,s18,7
Arn,2,ArtifactFC,s18,6
Toppee,2,ArtifactFC,s18,7
Bollop,2,ArtifactFC,s18,7
Reeka,2,ArtifactFC,s18,7
Kanpa,2,ArtifactNFC,s19,7
Flut,2,ArtifactNFC,s19,7
Meepa,2,ArtifactNFC,s19,5
Cano,2,ArtifactNFC,s19,7
Maxus,2,ArtifactNFC,s19,4
Bewt,2,ArtifactFC,s19,5
Arn,2,ArtifactFC,s19,7
Toppee,2,ArtifactFC,s19,7
Bollop,2,ArtifactFC,s19,5
Reeka,2,ArtifactFC,s19,5
