Group,Subject,TrialType,Kind,KindNew,Object,Rating
CB,CB3,Filler,Natural,Natural,Walla,6
CB,CB3,Filler,Natural,Natural,Chom,3
CB,CB3,Filler,Natural,Natural,Hyto,2
CB,CB3,Filler,Natural,Natural,Drapa,5
CB,CB3,Filler,Natural,Natural,Uzoo,5
CB,CB3,Filler,Natural,Natural,Jox,3
CB,CB4,Color,Natural,Natural,Atto,7
CB,CB4,Color,Natural,Natural,Onz,7
CB,CB4,Color,Natural,Natural,Stime,6
CB,CB4,Color,Natural,Natural,Enly,7
CB,CB4,Color,Natural,Natural,Blairo,6
CB,CB4,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB4,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB4,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB4,Color,ArtifactFC,ArtifactFC,Bollop,7
CB,CB4,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB4,Color,ArtifactNFC,ArtifactNFC,Kanpa,5
CB,CB4,Color,ArtifactNFC,ArtifactNFC,Flut,5
CB,CB4,Color,ArtifactNFC,ArtifactNFC,Meepa,6
CB,CB4,Color,ArtifactNFC,ArtifactFC,Cano,6
CB,CB4,Color,ArtifactNFC,ArtifactNFC,Maxus,7
CB,CB4,Function,Natural,Natural,Koshi,2
CB,CB4,Function,Natural,Natural,Poom,2
CB,CB4,Function,Natural,Natural,Borg,2
CB,CB4,Function,Natural,Natural,Norpee,2
CB,CB4,Function,Natural,Natural,Irve,3
CB,CB4,Function,Artifact,Artifact,Xenop,7
CB,CB4,Function,Artifact,Artifact,Trint,7
CB,CB4,Function,Artifact,Artifact,Soof,6
CB,CB4,Function,Artifact,Artifact,Quag,7
CB,CB4,Function,Artifact,Artifact,Olan,7
CB,CB4,Filler,Artifact,Artifact,Gep,7
CB,CB4,Filler,Artifact,Artifact,Desh,4
CB,CB4,Filler,Artifact,Artifact,Nox,4
CB,CB4,Filler,Natural,Natural,Yobal,7
CB,CB4,Filler,Natural,Natural,Walla,7
CB,CB4,Filler,Natural,Natural,Chom,7
CB,CB4,Filler,Natural,Natural,Hyto,2
CB,CB4,Filler,Natural,Natural,Drapa,1
CB,CB4,Filler,Natural,Natural,Uzoo,5
CB,CB4,Filler,Natural,Natural,Jox,3
CB,CB5,Color,Natural,Natural,Atto,6
CB,CB5,Color,Natural,Natural,Onz,6
CB,CB5,Color,Natural,Natural,Stime,5
CB,CB5,Color,Natural,Natural,Enly,1
CB,CB5,Color,Natural,Natural,Blairo,5
CB,CB5,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB5,Color,ArtifactFC,ArtifactNFC,Arn,6
CB,CB5,Color,ArtifactFC,ArtifactFC,Topee,6
CB,CB5,Color,ArtifactFC,ArtifactFC,Bollop,6
CB,CB5,Color,ArtifactFC,ArtifactFC,Reeka,3
CB,CB5,Color,ArtifactNFC,ArtifactNFC,Kanpa,3
CB,CB5,Color,ArtifactNFC,ArtifactNFC,Flut,3
CB,CB5,Color,ArtifactNFC,ArtifactNFC,Meepa,2
CB,CB5,Color,ArtifactNFC,ArtifactFC,Cano,2
CB,CB5,Color,ArtifactNFC,ArtifactNFC,Maxus,4
CB,CB5,Function,Natural,Natural,Koshi,2
CB,CB5,Function,Natural,Natural,Poom,2
CB,CB5,Function,Natural,Natural,Borg,1
CB,CB5,Function,Natural,Natural,Norpee,3
CB,CB5,Function,Natural,Natural,Irve,2
CB,CB5,Function,Artifact,Artifact,Xenop,2
CB,CB5,Function,Artifact,Artifact,Trint,6
CB,CB5,Function,Artifact,Artifact,Soof,7
CB,CB5,Function,Artifact,Artifact,Quag,5
CB,CB5,Function,Artifact,Artifact,Olan,6
CB,CB5,Filler,Artifact,Artifact,Gep,6
CB,CB5,Filler,Artifact,Artifact,Desh,6
CB,CB5,Filler,Artifact,Artifact,Nox,2
CB,CB5,Filler,Natural,Natural,Yobal,6
CB,CB5,Filler,Natural,Natural,Walla,5
CB,CB5,Filler,Natural,Natural,Chom,4
CB,CB5,Filler,Natural,Natural,Hyto,3
CB,CB5,Filler,Natural,Natural,Drapa,2
CB,CB5,Filler,Natural,Natural,Uzoo,5
CB,CB5,Filler,Natural,Natural,Jox,3
CB,CB6,Color,Natural,Natural,Atto,7
CB,CB6,Color,Natural,Natural,Onz,7
CB,CB6,Color,Natural,Natural,Stime,7
CB,CB6,Color,Natural,Natural,Enly,7
CB,CB6,Color,Natural,Natural,Blairo,3
CB,CB6,Color,ArtifactFC,ArtifactFC,Bewt,5
CB,CB6,Color,ArtifactFC,ArtifactNFC,Arn,6
CB,CB6,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB6,Color,ArtifactFC,ArtifactFC,Bollop,7
CB,CB6,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB6,Color,ArtifactNFC,ArtifactNFC,Kanpa,5
CB,CB6,Color,ArtifactNFC,ArtifactNFC,Flut,5
CB,CB6,Color,ArtifactNFC,ArtifactNFC,Meepa,1
CB,CB6,Color,ArtifactNFC,ArtifactFC,Cano,1
CB,CB6,Color,ArtifactNFC,ArtifactNFC,Maxus,6
CB,CB6,Function,Natural,Natural,Koshi,7
CB,CB6,Function,Natural,Natural,Poom,7
CB,CB6,Function,Natural,Natural,Borg,6
CB,CB6,Function,Natural,Natural,Norpee,5
CB,CB6,Function,Natural,Natural,Irve,7
CB,CB6,Function,Artifact,Artifact,Xenop,5
CB,CB6,Function,Artifact,Artifact,Trint,7
CB,CB6,Function,Artifact,Artifact,Soof,7
CB,CB6,Function,Artifact,Artifact,Quag,7
CB,CB6,Function,Artifact,Artifact,Olan,7
CB,CB6,Filler,Artifact,Artifact,Gep,5
CB,CB6,Filler,Artifact,Artifact,Desh,7
CB,CB6,Filler,Artifact,Artifact,Nox,7
CB,CB6,Filler,Natural,Natural,Yobal,7
CB,CB6,Filler,Natural,Natural,Walla,7
CB,CB6,Filler,Natural,Natural,Chom,6
CB,CB6,Filler,Natural,Natural,Hyto,1
CB,CB6,Filler,Natural,Natural,Drapa,6
CB,CB6,Filler,Natural,Natural,Uzoo,2
CB,CB6,Filler,Natural,Natural,Jox,1
